State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,8,100,0.5625,1,5,
12,8,100,2,12.6,14,
12,7,88,0.042857,0.3,17,
12,8,100,0.075,0.6,11,
12,8,100,1.275,6.6,17,
12,8,100,0,0,2,
12,8,100,1.0625,6,11,
12,8,100,0.075,0.6,8,
12,8,100,0.8,2,14,
12,8,100,0.6375,1.3,8,
12,8,100,0.4125,1,5,
12,8,100,0.6125,1,5,
12,8,100,0.45,1,14,
12,8,100,0.9125,1,5,
12,6,75,0.55,1.3,8,
12,8,100,0,0,2,
12,8,100,3.0375,21,14,
12,8,100,3.2,18.6,11,
12,8,100,0.2875,2.3,14,
12,8,100,0,0,2,
12,8,100,0.65,3.3,14,
12,8,100,0.575,4.6,11,
12,8,100,0,0,2,
12,2,25,0,0,2,
12,3,38,0.333333,1,23,
12,8,100,0.6125,1.3,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,6,75,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,1.9875,7.6,14,
12,8,100,9.4375,61,14,
12,8,100,2.8875,18.6,17,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,4,50,0,0,2,
12,5,63,0,0,11,
12,7,88,0.271429,1,23,
12,8,100,0.6125,1.3,14,
12,8,100,2.5625,16.3,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,7,88,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.1625,1.3,14,
12,8,100,0.95,2,11,
12,8,100,0.4875,2.3,17,
12,8,100,0.6875,1,5,
12,8,100,0.4375,1,8,
12,8,100,0.2,1,17,
12,8,100,0.45,1.3,8,
12,8,100,0.3625,1,5,
12,8,100,0.0375,0.3,8,
12,8,100,0.15,0.6,14,
12,8,100,1.15,7,17,
12,8,100,0.275,1,8,
12,7,88,0.214286,0.6,8,
12,8,100,0,0,2,
12,8,100,0.3875,1,11,
12,8,100,0.6875,1,2,
12,8,100,0.525,2,8,
12,8,100,0.225,0.6,8,
12,8,100,0.275,1,8,
12,8,100,0,0,2,
12,8,100,0.1125,0.6,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.9875,5.6,14,
12,8,100,2.6375,9.6,14,
12,7,88,0.614286,1,2,
12,8,100,0.075,0.3,8,
12,8,100,0.075,0.6,11,
12,8,100,0.45,1,8,
12,8,100,0.325,1,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,1.1875,5,17,
12,8,100,0.775,3.3,14,
12,8,100,0.25,1,2,
12,7,88,0.042857,0.3,17,
12,8,100,0,0,2,
12,8,100,0.45,1,8,
12,7,88,0.785714,1.6,8,
12,8,100,0.5125,1.6,8,
12,8,100,0.5125,1.3,5,
12,8,100,0.6,2,14,
12,8,100,0.4875,1,5,
12,8,100,0.7125,3.6,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.3,0.6,8,
12,8,100,0.2,1,8,
12,8,100,0.15,0.6,14,
12,8,100,0.5625,2.3,8,
12,6,75,0.1,0.6,17,
12,8,100,2.925,7.3,23,
12,8,100,1.975,5.3,2,
12,8,100,1.5,2.6,23,
12,8,100,1.4,2.3,14,
12,8,100,0.4875,1.3,11,
12,8,100,0.1125,0.3,8,
12,8,100,0.475,2.6,14,
12,8,100,0.525,2.3,11,
12,8,100,0.775,3.6,11,
12,8,100,0.775,1.3,14,
12,8,100,0.275,1,14,
12,5,63,0.72,1.3,14,
12,5,63,1.44,2,23,
12,7,88,1.328571,3,8,
12,7,88,1.071429,1.6,14,
12,5,63,0.46,1,11,
12,8,100,0.7375,1,5,
12,8,100,0.525,1,11,
12,8,100,0.4875,1.3,14,
12,8,100,0.9,1.3,11,
12,8,100,0.8125,1.6,8,
12,8,100,0.3625,1,11,
12,8,100,0.1625,1,23,
12,8,100,0.45,1,2,
12,8,100,0.0375,0.3,20,
12,8,100,0,0,2,
12,7,88,0.757143,1.3,11,
12,7,88,0.642857,1,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.0375,0.3,8,
12,24,100,3.25,14,15,20
12,24,100,5.625,23,12,33
12,24,100,2.708333,7,11,10
12,24,100,1.291667,3,12,4
12,22,92,0.909091,2,11,3
12,24,100,0.916667,4,12,6
12,24,100,1.291667,7,15,10
12,24,100,7.916667,30,14,43
12,24,100,2.291667,5,10,7
12,24,100,0.708333,4,21,6
12,24,100,4.208333,19,16,27
12,22,92,3,7,18,10
12,24,100,6.5,16,22,23
12,24,100,5.625,10,9,14
12,24,100,2.958333,8,9,11
12,24,100,2.541667,6,10,9
12,24,100,1.25,6,15,9
12,24,100,0.291667,1,2,1
12,24,100,0.333333,1,8,1
12,24,100,4.083333,15,12,21
12,22,92,2.636364,14,12,20
12,24,100,4.916667,10,20,14
12,24,100,2.625,5,10,7
12,24,100,3.416667,7,10,10
12,24,100,2.416667,5,10,7
12,22,92,1.090909,3,0,4
12,24,100,1.083333,5,19,7
12,19,79,0.947368,2,9,3
12,19,79,4.210526,9,12,13
12,16,67,3.5,9,10,13
12,22,92,6.045455,37,11,52
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.125,1,12,1
12,21,88,0.571429,3,15,4
12,24,100,2.166667,9,10,13
12,24,100,0.625,2,11,3
12,24,100,0.458333,2,13,3
12,24,100,5.083333,19,16,27
12,24,100,3.166667,7,1,10
12,24,100,2.708333,11,14,16
12,24,100,1,1,0,1
12,21,88,0.47619,2,11,3
12,24,100,0,0,0,0
12,24,100,0.083333,1,11,1
12,24,100,0,0,0,0
12,24,100,1.25,5,2,7
12,22,92,0.590909,4,22,6
12,24,100,4.166667,13,6,19
12,24,100,4.541667,12,11,17
12,24,100,4.083333,8,10,11
12,24,100,1.75,4,0,6
12,24,100,4.541667,13,16,19
12,24,100,2.291667,6,10,9
12,24,100,0.416667,1,13,1
12,24,100,1.208333,9,10,13
12,22,92,1.181818,3,14,4
12,24,100,2.875,4,11,6
12,24,100,4.958333,9,9,13
12,24,100,8.25,22,10,31
12,24,100,0.916667,4,18,6
12,24,100,0.75,4,18,6
12,24,100,1.125,7,9,10
12,24,100,0.583333,4,11,6
12,20,83,0.05,1,13,1
12,24,100,0.375,2,4,3
12,24,100,0.416667,4,9,6
12,24,100,0.833333,7,7,10
12,24,100,4.041667,14,8,20
12,23,96,0.347826,1,8,1
12,12,50,3.583333,10,12,14
12,22,92,1.045455,3,8,4
12,24,100,8.708333,30,15,43
12,24,100,0.416667,3,10,4
12,21,88,0.952381,6,10,9
12,24,100,0.041667,1,12,1
12,24,100,1.083333,4,9,6
12,24,100,1.875,3,7,4
12,22,92,1.227273,7,14,10
12,24,100,0.416667,2,9,3
12,24,100,0.583333,2,17,3
12,24,100,3,15,16,21
12,24,100,3.625,15,18,21
12,24,100,8.25,31,7,44
12,21,88,1,12,16,17
12,24,100,0.125,1,8,1
12,24,100,1,5,14,7
12,24,100,0.666667,3,15,4
12,24,100,7.083333,27,16,39
12,22,92,1.272727,7,9,10
12,24,100,0.291667,2,9,3
12,18,75,2.444444,7,22,10
12,24,100,2.541667,4,2,6
12,24,100,4.875,29,5,41
12,24,100,2.791667,6,2,9
12,24,100,7,18,10,26
12,24,100,3,6,9,9
12,24,100,2.291667,5,21,7
12,22,92,0.954545,2,0,3
12,24,100,1.833333,7,10,10
12,24,100,2.541667,15,11,21
12,24,100,1.375,5,9,7
12,24,100,1.166667,3,9,4
12,22,92,0,0,0,0
12,24,100,0.166667,2,7,3
12,24,100,2.75,8,13,11
12,22,92,1.727273,9,8,13
12,24,100,1.291667,4,9,6
12,24,100,0.541667,2,10,3
12,24,100,0.958333,2,6,3
12,24,100,1,3,11,4
12,24,100,1.083333,4,9,6
12,20,83,1.25,4,7,6
12,24,100,1.791667,4,18,6
12,24,100,1.541667,2,8,3
12,24,100,1.916667,4,8,6
12,24,100,1.583333,3,7,4
12,22,92,1.318182,3,12,4
12,24,100,1.916667,5,8,7
12,24,100,0.458333,2,7,3
12,24,100,0.208333,1,7,1
12,24,100,0.125,1,8,1
12,24,100,0.291667,2,9,3
12,24,100,0.291667,1,11,1
12,21,88,3.571429,17,15,24
12,24,100,4.083333,26,8,37
12,22,92,2.181818,4,16,6
12,24,100,3.166667,7,15,10
12,24,100,1.5,3,17,4
12,24,100,0.666667,3,22,4
12,24,100,1.125,6,1,9
12,24,100,1.208333,4,20,6
12,22,92,0.227273,1,0,1
12,24,100,0.125,2,22,3
12,24,100,1.75,7,21,10
12,24,100,1.333333,3,7,4
12,24,100,0.791667,3,17,4
12,24,100,0,0,0,0
12,19,79,0.421053,1,14,1
12,24,100,0.541667,1,6,1
12,24,100,1,5,10,7
12,24,100,0.75,2,7,3
12,24,100,0.833333,2,3,3
12,24,100,0.875,1,0,1
12,24,100,1.625,8,13,11
12,22,92,1,3,15,4
12,24,100,0.666667,5,8,7
12,24,100,0.583333,5,2,7
12,22,92,0.636364,2,8,3
12,24,100,0.75,3,6,4
12,24,100,0.916667,3,8,4
12,24,100,0.875,1,0,1
12,24,100,0.833333,3,13,4
12,24,100,1.333333,4,7,6
12,24,100,1.5,5,7,7
12,22,92,0.954545,3,8,4
