State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour
12,8,100,1.6125,8.3,14
12,8,100,0.125,1,11
12,8,100,0,0,2
12,7,88,3.585714,15.6,14
12,8,100,0.0375,0.3,17
12,8,100,6.975,34.6,14
12,8,100,0.65,4.6,14
12,8,100,0,0,2
12,8,100,0.1625,1,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,3.6375,11.3,17
12,8,100,4.15,19,11
12,8,100,0.9,2.6,11
12,8,100,4.6375,12.6,14
12,8,100,1.6375,7.6,11
12,8,100,0.0375,0.3,11
12,8,100,0,0,2
12,7,88,0.142857,1,14
12,8,100,1.3625,8.3,11
12,8,100,3.2375,16,14
12,8,100,0.325,1.3,11
12,8,100,1.6375,9.6,14
12,8,100,5.475,16.6,14
12,8,100,0.15,0.6,11
12,8,100,0.1125,0.6,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.325,2.3,14
12,8,100,0.6375,1.6,14
12,7,88,0.585714,2.3,14
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.15,0.6,17
12,8,100,1.975,10.6,11
12,8,100,0.15,0.6,5
12,8,100,0.2,1,17
12,8,100,0.2375,1,14
12,8,100,0.0375,0.3,8
12,8,100,0,0,2
12,8,100,0,0,2
12,7,88,0.457143,1,5
12,7,88,0.657143,4,14
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.2875,1.3,11
12,8,100,0.2375,1.6,17
12,8,100,4.7375,24.3,11
12,8,100,3.8125,18.3,14
12,8,100,3.0625,15.6,14
12,8,100,0.1125,0.3,5
12,8,100,0.45,2,14
12,8,100,4.0375,16,17
12,8,100,2.6625,20,11
12,8,100,1.8625,10.3,11
12,8,100,0.075,0.3,8
12,7,88,0.042857,0.3,14
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.075,0.3,5
12,8,100,0.0375,0.3,8
12,8,100,0,0,2
12,8,100,0.4125,1,5
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.075,0.3,5
12,7,88,0.085714,0.6,14
12,8,100,0.1125,0.6,11
12,8,100,0,0,2
12,8,100,0.1125,0.6,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.0375,0.3,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.2,1.3,17
12,8,100,0.525,2.3,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,7,88,1.171429,4.3,14
12,8,100,1.0125,5.3,17
12,8,100,0.325,1.3,11
12,8,100,0.2375,1,8
12,8,100,0.1125,0.6,11
12,8,100,1.1625,8,14
12,8,100,0.1125,0.6,8
12,8,100,0.8625,4,11
12,8,100,0.15,0.6,17
12,8,100,0,0,2
12,8,100,0.0375,0.3,8
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,7,88,0,0,2
12,8,100,0.075,0.6,8
12,8,100,0.2,1,11
12,8,100,0.075,0.3,8
12,8,100,2.525,11,14
12,8,100,10.0625,58.6,14
12,8,100,1.225,6,14
12,8,100,0.6125,1.6,11
12,8,100,0.3125,1.3,11
12,8,100,0.3875,1.3,8
12,8,100,0.1625,1,23
12,8,100,0.2375,1,14
12,8,100,0.075,0.6,11
12,8,100,0.075,0.3,8
12,8,100,0.3125,1,8
12,7,88,0.728571,2.3,11
12,8,100,0.4875,1,14
12,8,100,0.525,1.6,8
12,8,100,0,0,2
12,8,100,0,0,2
12,6,75,0.666667,3,11
12,8,100,0.0375,0.3,14
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,7,88,0,0,2
12,8,100,0,0,2
12,8,100,0.2,1,23
12,8,100,0.0375,0.3,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.2875,1,11
12,6,75,0.216667,1.3,17
12,8,100,0.1125,0.6,11
12,8,100,0.0375,0.3,8
12,8,100,0,0,2
12,8,100,1.025,3.6,14
12,8,100,3.225,13.6,14
12,8,100,0.5625,1.3,8
12,8,100,0.6125,3.6,17
12,8,100,0.275,1,8
12,7,88,0.185714,1,14
12,7,88,0.185714,1,14
12,8,100,0.4,1.3,11
12,7,88,0.4,1.6,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,1.2375,4,14
12,8,100,0,0,2
12,4,50,0.9,2,14
12,7,88,0.985714,4.3,14
12,8,100,0.7,2,8
12,8,100,0.2,1,20
12,8,100,0.475,1.3,23
12,5,63,0.58,1.6,11
12,8,100,0.9375,3.6,11
12,8,100,0.0375,0.3,2
12,8,100,0.0375,0.3,8
12,7,88,0,0,2
12,8,100,0,0,2
12,6,75,1.266667,2.3,11
12,3,38,1.433333,2,14
12,2,25,1,1,17
12,4,50,0.825,1.3,14
12,7,88,0.557143,2,14
12,8,100,1.075,1.6,8
12,8,100,1.0125,2.3,8
12,7,88,0.142857,1,14
12,8,100,0.45,1,8
12,8,100,0.275,1,11
12,8,100,0.0375,0.3,2
12,8,100,0.3625,1.3,11
12,8,100,0.6,1.3,8
12,8,100,1.725,2.6,23
12,24,100,0.583333,1,10
12,24,100,0.916667,1,0
12,22,92,0.909091,2,0
12,24,100,2.333333,5,6
12,24,100,1.875,6,10
12,24,100,3.166667,18,20
12,24,100,3.083333,11,22
12,24,100,2.791667,7,7
12,21,88,1.857143,7,10
12,22,92,1.909091,15,22
12,24,100,4.416667,12,23
12,24,100,3.5,7,5
12,24,100,1.416667,7,23
12,23,96,4.695652,13,8
12,24,100,4.166667,9,12
12,24,100,2.916667,18,23
12,24,100,5.25,22,20
12,24,100,3.958333,8,8
12,24,100,3.166667,9,8
12,24,100,1.75,5,9
12,24,100,0.625,3,10
12,22,92,0.136364,2,10
12,23,96,1.73913,4,11
12,18,75,2.222222,5,18
12,24,100,7.958333,37,11
12,24,100,2.416667,7,11
12,24,100,4.708333,21,15
12,21,88,3.095238,19,11
12,24,100,1.666667,4,7
12,24,100,1.041667,2,11
12,24,100,2.083333,13,19
12,24,100,0.916667,2,9
12,24,100,2.416667,9,12
12,24,100,4.583333,22,12
12,24,100,2.375,10,23
12,20,83,3.8,15,11
12,24,100,1.708333,3,10
12,19,79,0.631579,4,11
12,4,17,7.25,8,16
12,17,71,0.941176,6,20
12,24,100,1.708333,5,9
12,24,100,1.916667,5,23
12,22,92,2.954545,9,7
12,24,100,2.416667,7,16
12,24,100,0.958333,5,10
12,24,100,0.375,2,9
12,24,100,0.416667,1,11
12,23,96,0.782609,4,15
12,24,100,0.791667,2,11
12,22,92,1.681818,15,13
12,24,100,1.791667,7,12
12,24,100,0.208333,2,11
12,24,100,0.375,2,20
12,24,100,1.916667,5,18
12,24,100,1.833333,9,11
12,21,88,0.571429,2,11
12,23,96,0.608696,3,22
12,22,92,2.818182,10,12
12,24,100,0.333333,2,1
12,24,100,0,0,0
12,22,92,3.318182,20,12
12,19,79,0.210526,1,0
12,24,100,0.458333,1,10
12,22,92,1.818182,6,10
12,24,100,1.833333,6,2
12,24,100,4.25,13,12
12,24,100,0.708333,3,17
12,21,88,1.952381,9,16
12,24,100,1,5,10
12,24,100,1.041667,3,10
12,22,92,0.5,3,16
12,24,100,4.541667,38,11
12,24,100,1.375,3,14
12,24,100,3.375,10,11
12,23,96,0.478261,3,12
12,24,100,0.5,2,17
12,24,100,1.958333,7,14
12,22,92,0.727273,2,9
12,24,100,1.458333,6,8
12,24,100,1.666667,4,8
12,24,100,2.041667,6,9
12,24,100,2.875,11,15
12,22,92,1.863636,6,10
12,24,100,1.5,5,17
12,24,100,0.541667,1,0
12,22,92,2.590909,12,16
12,24,100,2.166667,10,19
12,21,88,1.047619,3,8
12,11,46,1.909091,3,11
12,24,100,3.166667,18,8
12,15,63,2.8,9,8
12,24,100,1.666667,7,9
12,22,92,1.363636,7,18
12,24,100,0.791667,3,10
12,24,100,2,5,16
12,22,92,1.181818,2,8
12,24,100,2,7,12
12,24,100,1.291667,4,14
12,23,96,1.521739,4,11
12,24,100,2.5,4,5
12,24,100,3.125,11,9
12,24,100,4,11,18
12,24,100,2.166667,6,8
12,24,100,1,2,0
12,24,100,0.708333,1,1
12,24,100,1.208333,3,10
12,23,96,2.73913,20,11
12,24,100,0.5,1,2
12,24,100,3,22,14
12,22,92,1.045455,3,9
12,24,100,1.416667,4,21
12,24,100,3.333333,10,15
12,22,92,2,5,21
12,24,100,1.5,5,10
12,24,100,1.875,9,22
12,24,100,2.875,16,17
12,22,92,0.772727,4,9
12,24,100,0.583333,6,11
12,21,88,0.666667,3,11
12,24,100,0.958333,3,15
12,24,100,0.208333,1,9
12,24,100,0.166667,1,0
12,24,100,0.458333,2,8
12,22,92,2.272727,4,7
12,24,100,1.875,4,7
12,24,100,1.958333,6,9
12,24,100,1.333333,3,8
12,22,92,1.409091,3,10
12,24,100,1.125,5,20
12,24,100,0.041667,1,17
12,23,96,1.130435,12,23
12,24,100,2.666667,10,19
12,24,100,3.791667,21,9
12,24,100,1.291667,3,8
12,24,100,1.458333,7,7
12,24,100,1.541667,8,14
12,24,100,1.25,4,13
12,24,100,0.458333,3,12
12,24,100,0.75,7,16
12,24,100,1.333333,3,11
12,24,100,0.791667,4,13
12,22,92,0.681818,3,16
12,24,100,1.333333,6,9
12,24,100,0.541667,2,9
12,24,100,0.416667,1,0
12,24,100,1,3,22
12,24,100,1.5,3,21
12,21,88,1.666667,4,10
12,24,100,1.416667,4,9
12,24,100,0.25,1,0
12,24,100,0.166667,1,11
12,24,100,1.875,5,23
12,23,96,0.565217,4,9
12,24,100,0.041667,1,14
12,23,96,0.73913,3,10
12,24,100,0.541667,2,9
12,24,100,0.041667,1,9
12,24,100,0,0,0
12,24,100,0.916667,9,17
12,14,58,3.214286,12,10
12,21,88,0.857143,2,15
12,24,100,1.041667,2,7
12,22,92,0.636364,4,14
12,24,100,0.333333,2,11
12,24,100,0.541667,5,13
12,23,96,0.434783,3,10
12,24,100,1.083333,3,9
12,24,100,0,0,0
12,22,92,0.227273,4,9
12,24,100,0,0,0
12,24,100,0.125,3,14
12,24,100,0.708333,3,17
12,24,100,1.375,5,14
12,24,100,2.291667,25,10
12,24,100,0.708333,2,11
12,22,92,0.909091,3,8
12,24,100,1.958333,14,12
12,24,100,0.541667,6,11
